ϵͳSN 		�忨SN
KSE0293896	AKAY352954
KSE0293897	AKAY352930
KSE0293898	AKAY352936
KSE0293899	AKAY352934
KSE0293900	AKAY352077
KSE0293901	AKAY353658
KSE0293902	AKAY352721
KSE0293903	AKAY353603
KSE0293904	AKAY353602
KSE0293905	AKAY351833
KSE0293906	AKAY352784
KSE0293907	AKAY352747
KSE0293908	AKAY352749
KSE0293909	AKAY352075
KSE0293910	AKAY352378
KSE0293911	AKAY352371
KSE0293912	AKAY352372
KSE0293913	AKAY352369
KSE0293914	AKAY352791
KSE0293915	AKAY352790
KSE0293916	AKAY352655
KSE0293917	AKAY352789
KSE0293918	AKAY353536
KSE0293919	AKAY352131
KSE0293920	AKAY353404
KSE0293921	AKAY352953
KSE0293922	AKAY351554
KSE0293923	AKAY353300
KSE0293924	AKAY353163
KSE0293925	AKAY351320
KSE0293926	AKAY353407
KSE0293927	AKAY351552
KSE0293928	AKAY351551
KSE0293929	AKAY351684
KSE0293930	AKAY353738
KSE0293931	AKAY351541
KSE0293932	AKAY353187
KSE0293933	AKAY353733
KSE0293934	AKAY353721
KSE0293935	AKAY351347
KSE0293936	AKAY352966
KSE0293937	AKAY353688
KSE0293938	AKAY351844
KSE0293939	AKAY351572
KSE0293940	AKAY352912
KSE0293941	AKAY353555
KSE0293942	AKAY352929
KSE0293943	AKAY351611
KSE0293944	AKAY351610
KSE0293945	AKAY353714
KSE0293946	AKAY353032
KSE0293947	AKAY352329
KSE0293948	AKAY352494
KSE0293949	AKAY352492
KSE0293950	AKAY353150
KSE0293951	AKAY353027
KSE0293952	AKAY353030
KSE0293953	AKAY352398
KSE0293954	AKAY351547
KSE0293955	AKAY351736
KSE0293956	AKAY351625
KSE0293957	AKAY353165
KSE0293958	AKAY351622
KSE0293959	AKAY351545
KSE0293960	AKAY353040
KSE0293961	AKAY351452
KSE0293962	AKAY351345
KSE0293963	AKAY351303
KSE0293964	AKAY353410
KSE0293965	AKAY352939
KSE0293966	AKAY352268
KSE0293967	AKAY351544
KSE0293968	AKAY352096
KSE0293969	AKAY351546
KSE0293970	AKAY353654
KSE0293971	AKAY353737
KSE0293972	AKAY353693
KSE0293973	AKAY351348
KSE0293974	AKAY353556
KSE0293975	AKAY353490
KSE0293976	AKAY353045
KSE0293977	AKAY352490
KSE0293978	AKAY353686
KSE0293979	AKAY351758
KSE0293980	AKAY351621
KSE0293981	AKAY351619
KSE0293982	AKAY353409
KSE0293983	AKAY352300
KSE0293984	AKAY351672
KSE0293985	AKAY351493
KSE0293986	AKAY352500
KSE0293987	AKAY351503
